id,event,kickoff_time,team_h,team_a,team_h_score,team_a_score,finished,minutes,provisional_start_time,team_h_name,team_a_name
288,29,2026-03-04T20:00:00Z,15,14,,,False,0,False,NEW,MUN
289,29,2026-03-04T20:00:00Z,18,8,,,False,0,False,TOT,CRY
290,29,2026-03-04T20:00:00Z,20,12,,,False,0,False,WOL,LIV
291,30,2026-03-14T15:00:00Z,1,9,,,False,0,False,ARS,EVE
292,30,2026-03-14T15:00:00Z,5,20,,,False,0,False,BRE,WOL
293,30,2026-03-14T15:00:00Z,3,4,,,False,0,False,BUR,BOU
294,30,2026-03-14T15:00:00Z,7,15,,,False,0,False,CHE,NEW
295,30,2026-03-14T15:00:00Z,8,11,,,False,0,False,CRY,LEE
296,30,2026-03-14T15:00:00Z,12,18,,,False,0,False,LIV,TOT
297,30,2026-03-14T15:00:00Z,14,2,,,False,0,False,MUN,AVL
298,30,2026-03-14T15:00:00Z,16,10,,,False,0,False,NFO,FUL
299,30,2026-03-14T15:00:00Z,17,6,,,False,0,False,SUN,BHA
300,30,2026-03-14T15:00:00Z,19,13,,,False,0,False,WHU,MCI
301,31,2026-03-21T15:00:00Z,2,19,,,False,0,False,AVL,WHU
302,31,2026-03-21T15:00:00Z,4,14,,,False,0,False,BOU,MUN
303,31,2026-03-21T15:00:00Z,6,12,,,False,0,False,BHA,LIV
304,31,2026-03-21T15:00:00Z,9,7,,,False,0,False,EVE,CHE
305,31,2026-03-21T15:00:00Z,10,3,,,False,0,False,FUL,BUR
306,31,2026-03-21T15:00:00Z,11,5,,,False,0,False,LEE,BRE
307,31,2026-03-21T15:00:00Z,13,8,,,False,0,False,MCI,CRY
308,31,2026-03-21T15:00:00Z,15,17,,,False,0,False,NEW,SUN
309,31,2026-03-21T15:00:00Z,18,16,,,False,0,False,TOT,NFO
310,31,2026-03-21T15:00:00Z,20,1,,,False,0,False,WOL,ARS
311,32,2026-04-11T14:00:00Z,1,4,,,False,0,False,ARS,BOU
312,32,2026-04-11T14:00:00Z,5,9,,,False,0,False,BRE,EVE
313,32,2026-04-11T14:00:00Z,3,6,,,False,0,False,BUR,BHA
314,32,2026-04-11T14:00:00Z,7,13,,,False,0,False,CHE,MCI
315,32,2026-04-11T14:00:00Z,8,15,,,False,0,False,CRY,NEW
316,32,2026-04-11T14:00:00Z,12,10,,,False,0,False,LIV,FUL
317,32,2026-04-11T14:00:00Z,14,11,,,False,0,False,MUN,LEE
318,32,2026-04-11T14:00:00Z,16,2,,,False,0,False,NFO,AVL
319,32,2026-04-11T14:00:00Z,17,18,,,False,0,False,SUN,TOT
320,32,2026-04-11T14:00:00Z,19,20,,,False,0,False,WHU,WOL
321,33,2026-04-18T14:00:00Z,2,17,,,False,0,False,AVL,SUN
322,33,2026-04-18T14:00:00Z,5,10,,,False,0,False,BRE,FUL
323,33,2026-04-18T14:00:00Z,7,14,,,False,0,False,CHE,MUN
324,33,2026-04-18T14:00:00Z,8,19,,,False,0,False,CRY,WHU
325,33,2026-04-18T14:00:00Z,9,12,,,False,0,False,EVE,LIV
326,33,2026-04-18T14:00:00Z,11,20,,,False,0,False,LEE,WOL
327,33,2026-04-18T14:00:00Z,13,1,,,False,0,False,MCI,ARS
328,33,2026-04-18T14:00:00Z,15,4,,,False,0,False,NEW,BOU
329,33,2026-04-18T14:00:00Z,16,3,,,False,0,False,NFO,BUR
330,33,2026-04-18T14:00:00Z,18,6,,,False,0,False,TOT,BHA
331,34,2026-04-25T14:00:00Z,1,15,,,False,0,False,ARS,NEW
332,34,2026-04-25T14:00:00Z,4,11,,,False,0,False,BOU,LEE
333,34,2026-04-25T14:00:00Z,6,7,,,False,0,False,BHA,CHE
334,34,2026-04-25T14:00:00Z,3,13,,,False,0,False,BUR,MCI
335,34,2026-04-25T14:00:00Z,10,2,,,False,0,False,FUL,AVL
336,34,2026-04-25T14:00:00Z,12,8,,,False,0,False,LIV,CRY
337,34,2026-04-25T14:00:00Z,14,5,,,False,0,False,MUN,BRE
338,34,2026-04-25T14:00:00Z,17,16,,,False,0,False,SUN,NFO
339,34,2026-04-25T14:00:00Z,19,9,,,False,0,False,WHU,EVE
340,34,2026-04-25T14:00:00Z,20,18,,,False,0,False,WOL,TOT
341,35,2026-05-02T14:00:00Z,1,10,,,False,0,False,ARS,FUL
342,35,2026-05-02T14:00:00Z,2,18,,,False,0,False,AVL,TOT
343,35,2026-05-02T14:00:00Z,4,8,,,False,0,False,BOU,CRY
344,35,2026-05-02T14:00:00Z,5,19,,,False,0,False,BRE,WHU
345,35,2026-05-02T14:00:00Z,7,16,,,False,0,False,CHE,NFO
346,35,2026-05-02T14:00:00Z,9,13,,,False,0,False,EVE,MCI
347,35,2026-05-02T14:00:00Z,11,3,,,False,0,False,LEE,BUR
348,35,2026-05-02T14:00:00Z,14,12,,,False,0,False,MUN,LIV
