id,event,kickoff_time,team_h,team_a,team_h_difficulty,team_a_difficulty,finished,finished_provisional,started,minutes
269,27,2026-02-21T15:00:00Z,18,1,4,3,False,False,False,0
268,27,2026-02-21T15:00:00Z,17,10,3,2,False,False,False,0
270,27,2026-02-21T15:00:00Z,19,4,3,2,False,False,False,0
271,28,2026-02-28T15:00:00Z,1,7,3,4,False,False,False,0
272,28,2026-02-28T15:00:00Z,4,17,2,3,False,False,False,0
273,28,2026-02-28T15:00:00Z,6,16,3,3,False,False,False,0
274,28,2026-02-28T15:00:00Z,3,5,3,2,False,False,False,0
275,28,2026-02-28T15:00:00Z,10,18,3,3,False,False,False,0
276,28,2026-02-28T15:00:00Z,11,13,4,2,False,False,False,0
277,28,2026-02-28T15:00:00Z,12,19,2,5,False,False,False,0
278,28,2026-02-28T15:00:00Z,14,8,3,3,False,False,False,0
279,28,2026-02-28T15:00:00Z,15,9,2,4,False,False,False,0
280,28,2026-02-28T15:00:00Z,20,2,3,3,False,False,False,0
281,29,2026-03-04T20:00:00Z,2,7,3,4,False,False,False,0
282,29,2026-03-04T20:00:00Z,4,5,3,3,False,False,False,0
283,29,2026-03-04T20:00:00Z,6,1,4,3,False,False,False,0
284,29,2026-03-04T20:00:00Z,9,3,2,3,False,False,False,0
285,29,2026-03-04T20:00:00Z,10,19,2,3,False,False,False,0
286,29,2026-03-04T20:00:00Z,11,17,2,2,False,False,False,0
287,29,2026-03-04T20:00:00Z,13,16,3,4,False,False,False,0
288,29,2026-03-04T20:00:00Z,15,14,3,4,False,False,False,0
289,29,2026-03-04T20:00:00Z,18,8,3,3,False,False,False,0
290,29,2026-03-04T20:00:00Z,20,12,4,3,False,False,False,0
291,30,2026-03-14T15:00:00Z,1,9,2,4,False,False,False,0
292,30,2026-03-14T15:00:00Z,5,20,2,3,False,False,False,0
293,30,2026-03-14T15:00:00Z,3,4,3,2,False,False,False,0
294,30,2026-03-14T15:00:00Z,7,15,3,4,False,False,False,0
295,30,2026-03-14T15:00:00Z,8,11,2,3,False,False,False,0
296,30,2026-03-14T15:00:00Z,12,18,3,5,False,False,False,0
297,30,2026-03-14T15:00:00Z,14,2,3,3,False,False,False,0
298,30,2026-03-14T15:00:00Z,16,10,3,3,False,False,False,0
299,30,2026-03-14T15:00:00Z,17,6,3,2,False,False,False,0
300,30,2026-03-14T15:00:00Z,19,13,4,2,False,False,False,0
301,31,2026-03-21T15:00:00Z,2,19,2,4,False,False,False,0
302,31,2026-03-21T15:00:00Z,4,14,3,3,False,False,False,0
303,31,2026-03-21T15:00:00Z,6,12,4,3,False,False,False,0
304,31,2026-03-21T15:00:00Z,9,7,3,3,False,False,False,0
305,31,2026-03-21T15:00:00Z,10,3,2,3,False,False,False,0
306,31,2026-03-21T15:00:00Z,11,5,3,2,False,False,False,0
