id,first_name,second_name,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,news,chance_of_playing_next_round,chance_of_playing_this_round
146,Lewis,Dunk,Dunk,6,2,45,0,0,12007,8635,1.3,a,,,
147,Pervis,Estupiñán Tenorio,Estupiñan,6,2,45,0,0,0,963,0.0,u,Has joined AC Milan permanently,0.0,0.0
148,Ferdi,Kadıoğlu,F.Kadıoğlu,6,2,45,0,0,903,3202,0.2,a,,,
149,Igor Julio,dos Santos de Paulo,Igor,6,2,45,0,0,310,531,0.1,a,,100.0,100.0
150,Tariq,Lamptey,Lamptey,6,2,45,0,0,1440,5591,0.4,a,,,
151,Jan Paul,van Hecke,Van Hecke,6,2,45,0,0,5779,8680,1.2,a,,,
152,Joël,Veltman,Veltman,6,2,45,0,0,454,3793,0.2,a,,,
153,Adam,Webster,Webster,6,2,45,0,0,74,401,0.0,i,Knee injury - Unknown return date,0.0,0.0
154,Eiran,Cashin,Cashin,6,2,40,0,0,0,260,0.0,u,Has joined Birmingham on loan for the rest of the season.,0.0,0.0
155,Jacob,Slater,Slater,6,2,40,0,0,819,1793,0.2,a,,,
156,Charlie,Tasker,Tasker,6,2,40,0,0,573,1477,0.2,a,,,
157,Mitoma,Kaoru,Mitoma,6,3,65,0,0,18836,100180,6.3,a,,,
158,Georginio,Rutter,Georginio,6,3,60,0,0,17623,20541,1.4,a,,,
159,Solly,March,March,6,3,59,-1,-1,45,945,0.0,i,Knee injury - Unknown return date,0.0,0.0
160,Yankuba,Minteh,Minteh,6,3,60,0,0,4316,21093,1.0,a,,,
161,Julio,Enciso Espínola,Enciso,6,3,55,0,0,45,1349,0.0,i,Knee injury - Expected back 18 Oct,0.0,0.0
162,Brajan,Gruda,Gruda,6,3,55,0,0,219,836,0.0,a,,,
163,Jack,Hinshelwood,Hinshelwood,6,3,54,-1,-1,157,2431,0.1,a,,,
164,Matt,O'Riley,O'Riley,6,3,55,0,0,100154,19583,1.7,a,,,
165,Abdallah,Sima,Sima,6,3,55,0,0,118,457,0.0,a,,,
166,Yasin,Ayari,Ayari,6,3,50,0,0,1350,2453,0.2,a,,,
167,Carlos,Baleba,Baleba,6,3,50,0,0,27671,49537,4.6,a,,,
168,Facundo,Buonanotte,Buonanotte,6,3,50,0,0,211,3643,0.2,a,,,
169,Diego,Gómez Amarilla,Gomez,6,3,50,0,0,227,889,0.1,a,,,
170,James,Milner,Milner,6,3,50,0,0,648,1531,0.1,a,,,
171,Jeremy,Sarmiento Morante,Sarmiento,6,3,50,0,0,55,564,0.0,a,,,
172,Tom,Watson,Watson,6,3,50,0,0,123,347,0.0,a,,100.0,100.0
173,Mats,Wieffer,Wieffer,6,3,50,0,0,1272,919,0.1,a,,,
174,Malick,Yalcouyé,Yalcouye,6,3,50,0,0,0,612,0.0,u,Has joined Swansea City on loan for the rest of the season.,0.0,0.0
175,Joe,Knight,Knight,6,3,45,0,0,674,1110,0.1,a,,,
176,Adrian,Mazilu,Mazilu,6,3,45,0,0,254,531,0.0,a,,,
177,Andrew,Moran,Moran,6,3,45,0,0,475,767,0.1,a,,,
178,Danny,Welbeck,Welbeck,6,4,65,0,0,13623,90153,3.7,a,,,
179,Evan,Ferguson,Ferguson,6,4,55,0,0,0,764,0.0,u,Has joined AS Roma on loan for the rest of the season,0.0,0.0
180,Stefanos,Tzimas,Tzimas,6,4,55,0,0,1241,2929,0.1,a,,,
181,Charalampos,Kostoulas,Kostoulas,6,4,50,0,0,3267,7304,0.4,a,,,
220,Robert,Lynch Sánchez,Sánchez,7,1,50,0,0,136039,78618,25.4,a,,,
221,Filip,Jörgensen,Jörgensen,7,1,45,0,0,721,2558,0.2,a,,,
222,Mike,Penders,Penders,7,1,40,0,0,0,111,0.0,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0
223,Gabriel,Słonina,Slonina,7,1,40,0,0,622,867,0.1,a,,,
224,Marc,Cucurella Saseta,Cucurella,7,2,60,0,0,283422,77217,21.7,a,,,
225,Reece,James,James,7,2,55,0,0,63463,33553,5.9,a,,,
226,Trevoh,Chalobah,Chalobah,7,2,50,0,0,32641,13208,1.4,a,,,
227,Levi,Samuels Colwill,Colwill,7,2,49,-1,-1,161,14576,0.3,i,Anterior cruciate ligament - Unknown return date,0.0,0.0
228,Malo,Gusto,Gusto,7,2,50,0,0,9669,27375,1.6,a,,,
229,Benoît,Badiashile Mukinayi,B.Badiashile,7,2,45,0,0,46,651,0.0,i,Knock - Unknown return date,0.0,0.0
230,Wesley,Fofana,Fofana,7,2,45,0,0,1110,4377,0.2,a,,100.0,75.0
231,Mamadou,Sarr,M.Sarr,7,2,45,0,0,0,912,0.0,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0
232,Tosin,Adarabioyo,Tosin,7,2,45,0,0,7315,23184,1.1,a,,100.0,
233,Josh,Acheampong,Acheampong,7,2,40,0,0,180218,24015,2.4,a,,,
234,Aarón,Anselmino,Anselmino,7,2,40,0,0,510,1490,0.1,a,,,
235,Cole,Palmer,Palmer,7,3,105,0,0,97622,319816,59.0,a,,,
236,Pedro,Lomba Neto,Neto,7,3,70,0,0,20893,46627,3.6,a,,,
237,Enzo,Fernández,Enzo,7,3,65,0,0,15157,50016,3.4,a,,,
238,Estêvão,Almeida de Oliveira Gonçalves,Estêvão,7,3,65,0,0,14095,36867,1.5,a,,,
239,Jamie,Bynoe-Gittens,Gittens,7,3,65,0,0,2279,6462,0.3,a,,,
240,Christopher,Nkunku,Nkunku,7,3,60,0,0,1611,5453,0.2,a,,,
241,Moisés,Caicedo Corozo,Caicedo,7,3,55,0,0,43077,58320,5.5,a,,,
243,Tyrique,George,George,7,3,50,0,0,390,909,0.1,a,,,
244,Roméo,Lavia,Lavia,7,3,50,0,0,32,908,0.0,i,Muscle injury - Unknown return date,0.0,0.0
