element,web_name,name,position,team,team_name,team_short,gw,event,fixture,kickoff_time,opponent_team,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,defensive_contribution,element_type,in_dreamteam,recoveries,starts,tackles
82,Semenyo,Antoine Semenyo,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,90,15,2,0,0,4,0,0,0,0,0,0,3,42,66.4,1.3,32.0,10.0,0.91,0.02,0.93,2.21,1,5,3,True,3,1,1
83,O.Dango,Dango Ouattara,MID,5,Brentford,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
84,Tavernier,Marcus Tavernier,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,90,4,0,0,0,4,0,0,0,0,0,0,0,20,24.6,14.1,33.0,7.2,0.32,0.06,0.38,2.21,7,20,3,False,10,1,3
85,Adams,Tyler Adams,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,90,4,0,0,0,3,0,0,0,0,0,0,0,11,21.6,1.7,4.0,2.7,0.0,0.1,0.1,2.1,8,19,3,False,6,1,5
86,Brooks,David Brooks,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,83,4,0,1,0,2,0,0,0,1,0,0,0,23,27.2,40.3,18.0,8.6,0.19,0.19,0.38,1.9,0,7,3,False,5,1,2
87,Christie,Ryan Christie,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
88,Cook,Lewis Cook,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
89,Philip,Philip Billing,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
90,Scott,Alex Scott,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,73,2,0,0,0,2,0,0,0,0,0,0,0,7,2.0,2.1,2.0,0.6,0.0,0.0,0.0,1.81,1,3,3,False,2,1,0
91,Sinisterra,Luis Sinisterra Lucumí,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
