id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,selected_by_percent,status,chance_of_playing_this_round
463,Kone,14,3,45,0,0,0.1,a,
464,Moorhouse,14,3,45,0,0,0.0,a,100.0
465,Højlund,14,4,64,0,-1,0.5,a,
466,Zirkzee,14,4,60,0,0,0.4,a,100.0
467,Obi,14,4,45,0,0,1.9,a,
468,Wheatley,14,4,45,0,0,0.1,a,100.0
681,Šeško,14,4,75,0,0,8.2,a,
52,J.Ramsey,15,3,55,0,0,0.5,a,
469,Pope,15,1,50,0,0,4.7,a,
471,Gillespie,15,1,40,0,0,0.2,a,
472,Odysseas,15,1,40,0,0,0.0,u,0.0
473,Hall,15,2,55,0,0,1.7,a,
474,Schär,15,2,55,0,0,2.8,d,
475,Botman,15,2,50,0,0,0.4,a,
476,Burn,15,2,50,0,0,4.7,a,
477,Livramento,15,2,50,0,0,5.6,a,
478,Trippier,15,2,50,0,0,2.5,a,
479,Krafth,15,2,45,0,0,0.0,a,
480,Lascelles,15,2,45,0,0,0.1,a,
481,A.Murphy,15,2,40,0,0,0.8,a,
482,Ashby,15,2,40,0,0,0.1,a,
483,Pivas,15,2,40,0,0,0.1,a,
484,Targett,15,2,40,0,0,0.5,a,
485,Gordon,15,3,75,0,0,2.0,s,100.0
486,Elanga,15,3,70,0,0,7.6,a,
487,Barnes,15,3,65,0,0,0.6,a,
488,Bruno G.,15,3,65,0,0,1.8,a,
489,J.Murphy,15,3,64,0,-1,1.5,a,
490,Joelinton,15,3,60,0,0,0.4,d,
491,Tonali,15,3,55,0,0,1.6,d,
492,Antoñito C.,15,3,50,0,0,0.0,a,100.0
494,Willock,15,3,50,0,0,0.0,a,100.0
495,Hayden,15,3,45,0,0,0.0,u,0.0
496,Kuol,15,3,45,0,0,0.1,a,
497,L.Miley,15,3,45,0,0,2.3,a,
498,White,15,3,45,0,0,0.0,u,0.0
499,Isak,15,4,104,0,-1,3.8,n,0.0
500,Osula,15,4,55,0,0,0.3,a,
501,Neave,15,4,45,0,0,0.2,a,
674,Ramsdale,15,1,50,0,0,0.8,a,
684,Thiaw,15,2,50,0,0,0.2,a,
689,Seung soo,15,3,45,0,0,0.2,a,
426,McAtee,16,3,55,0,0,0.2,a,
502,Sels,16,1,50,0,0,18.6,a,
503,C.Miguel,16,1,40,0,0,0.2,u,0.0
504,Turner,16,1,40,0,0,0.2,u,0.0
505,Milenković,16,2,55,0,0,9.3,a,
506,Murillo,16,2,55,0,0,6.4,a,
507,Aina,16,2,50,0,0,14.2,a,
