id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
179,Ferguson,6,4,55,0.0,-8.0,-10.0,down,u,1,stable,0.0,0.0,48h+
180,Tzimas,6,4,54,0.1,-17.0,-43.0,down,a,0,stable,0.0,0.0,48h+
181,Kostoulas,6,4,49,0.3,-71.0,-145.0,down,a,0,stable,0.0,0.0,48h+
168,Buonanotte,7,3,48,0.1,24.0,51.0,up,a,0,stable,0.0,0.0,48h+
220,Sánchez,7,1,50,22.7,-14513.0,-26678.0,down,a,0,stable,0.0,0.0,48h+
221,Jörgensen,7,1,44,0.2,-62.0,-119.0,down,a,0,stable,0.0,0.0,48h+
222,Penders,7,1,40,0.0,0.0,-2.0,flat,u,1,stable,0.0,0.0,48h+
223,Slonina,7,1,40,0.1,-44.0,-68.0,down,a,0,stable,0.0,0.0,48h+
224,Cucurella,7,2,62,27.8,-15565.0,-27295.0,down,a,0,stable,0.0,0.0,48h+
225,James,7,2,54,4.6,-3973.0,-7142.0,down,a,0,stable,0.0,0.0,48h+
226,Chalobah,7,2,51,8.6,4108.0,7770.0,up,a,0,stable,0.0,0.0,48h+
227,Colwill,7,2,48,0.1,-95.0,-183.0,down,i,1,stable,0.0,0.0,48h+
228,Gusto,7,2,49,1.4,-889.0,-1757.0,down,a,0,stable,0.0,0.0,48h+
229,B.Badiashile,7,2,44,0.0,-10.0,-12.0,down,d,1,stable,0.0,0.0,48h+
230,Fofana,7,2,44,0.2,-44.0,-101.0,down,a,0,stable,0.0,0.0,48h+
231,M.Sarr,7,2,45,0.0,-7.0,-14.0,down,u,1,stable,0.0,0.0,48h+
232,Tosin,7,2,45,1.2,-256.0,-453.0,down,a,0,stable,0.0,0.0,48h+
233,Acheampong,7,2,40,1.7,-2189.0,-3876.0,down,a,0,stable,0.0,0.0,48h+
234,Anselmino,7,2,40,0.1,-82.0,-163.0,down,u,1,stable,0.0,0.0,48h+
235,Palmer,7,3,104,20.2,35728.0,61163.0,up,a,0,stable,0.0,0.0,48h+
236,Neto,7,3,70,5.2,-5803.0,-9398.0,down,a,0,stable,0.0,0.0,48h+
237,Enzo,7,3,66,13.3,8593.0,18137.0,up,a,0,stable,0.0,0.0,48h+
238,Estêvão,7,3,65,2.3,-4130.0,-6906.0,down,a,0,stable,0.0,0.0,48h+
239,Gittens,7,3,63,0.1,-173.0,-313.0,down,a,0,stable,0.0,0.0,48h+
240,Nkunku,7,3,59,0.1,-122.0,-245.0,down,u,1,stable,0.0,0.0,48h+
241,Caicedo,7,3,56,9.0,22795.0,43593.0,up,a,0,stable,0.0,0.0,48h+
243,George,7,3,49,0.1,-7.0,-13.0,down,a,0,stable,0.0,0.0,48h+
244,Lavia,7,3,49,0.0,-9.0,-14.0,down,d,1,stable,0.0,0.0,48h+
245,Mudryk,7,3,50,0.0,0.0,-4.0,flat,s,1,stable,0.0,0.0,48h+
246,Andrey Santos,7,3,45,0.3,-17.0,-77.0,down,a,0,stable,0.0,0.0,48h+
247,D.Essugo,7,3,44,0.0,-63.0,-125.0,down,i,1,stable,0.0,0.0,48h+
248,Paez,7,3,45,0.0,-7.0,-14.0,down,u,1,stable,0.0,0.0,48h+
249,João Pedro,7,4,78,66.9,15102.0,28244.0,up,a,0,stable,0.0,0.0,48h+
250,Delap,7,4,63,1.4,-2502.0,-4855.0,down,i,1,stable,0.0,0.0,48h+
251,N.Jackson,7,4,65,0.1,-87.0,-191.0,down,u,1,stable,0.0,0.0,48h+
252,Marc Guiu,7,4,44,10.2,-10371.0,-18284.0,down,a,0,stable,0.0,0.0,48h+
453,Garnacho,7,3,64,0.3,-44.0,-51.0,down,a,0,stable,0.0,0.0,48h+
672,Hato,7,2,48,0.2,-170.0,-297.0,down,a,0,stable,0.0,0.0,48h+
253,Henderson,8,1,50,8.1,930.0,1460.0,up,a,0,stable,0.0,0.0,48h+
254,Benitez,8,1,40,0.4,-26.0,-48.0,down,a,0,stable,0.0,0.0,48h+
255,Matthews,8,1,40,0.1,-17.0,-27.0,down,a,0,stable,0.0,0.0,48h+
256,Muñoz,8,2,56,13.9,3788.0,6005.0,up,a,0,stable,0.0,0.0,48h+
257,Lacroix,8,2,50,4.1,9080.0,16386.0,up,a,0,stable,0.0,0.0,48h+
258,Mitchell,8,2,50,1.9,-14.0,-110.0,down,a,0,stable,0.0,0.0,48h+
259,Sosa,8,2,49,0.1,-46.0,-88.0,down,a,0,stable,0.0,0.0,48h+
260,Guéhi,8,2,47,22.1,32042.0,54659.0,up,a,0,stable,0.0,0.0,48h+
261,Richards,8,2,45,2.1,2929.0,5062.0,up,a,0,stable,0.0,0.0,48h+
