id,web_name,first_name,second_name,team,element_type,team_name
366,A.Becker,Alisson,Becker,12,1,Liverpool
367,Mamardashvili,Giorgi,Mamardashvili,12,1,Liverpool
368,Pécsi,Ármin,Pécsi,12,1,Liverpool
369,Woodman,Freddie,Woodman,12,1,Liverpool
370,Frimpong,Jeremie,Frimpong,12,2,Liverpool
371,Kerkez,Milos,Kerkez,12,2,Liverpool
372,Robertson,Andrew,Robertson,12,2,Liverpool
373,Virgil,Virgil,van Dijk,12,2,Liverpool
374,Konaté,Ibrahima,Konaté,12,2,Liverpool
375,Bradley,Conor,Bradley,12,2,Liverpool
376,Gomez,Joe,Gomez,12,2,Liverpool
377,Tsimikas,Konstantinos,Tsimikas,12,2,Liverpool
378,Nallo,Amara,Nallo,12,2,Liverpool
379,R.Williams,Rhys,Williams,12,2,Liverpool
380,Ramsay,Calvin,Ramsay,12,2,Liverpool
381,M.Salah,Mohamed,Salah,12,3,Liverpool
382,Wirtz,Florian,Wirtz,12,3,Liverpool
383,Luis Díaz,Luis,Díaz Marulanda,12,3,Liverpool
384,Gakpo,Cody,Gakpo,12,3,Liverpool
385,Chiesa,Federico,Chiesa,12,3,Liverpool
386,Mac Allister,Alexis,Mac Allister,12,3,Liverpool
387,Szoboszlai,Dominik,Szoboszlai,12,3,Liverpool
388,C.Jones,Curtis,Jones,12,3,Liverpool
389,Elliott,Harvey,Elliott,12,3,Liverpool
390,Gravenberch,Ryan,Gravenberch,12,3,Liverpool
392,Endo,Endo,Wataru,12,3,Liverpool
393,Bajcetic,Stefan,Bajčetić Maquieira,12,3,Liverpool
394,McConnell,James,McConnell,12,3,Liverpool
395,Morton,Tyler,Morton,12,3,Liverpool
396,Nyoni,Trey,Nyoni,12,3,Liverpool
397,Darwin,Darwin,Núñez Ribeiro,12,4,Liverpool
398,Danns,Jayden,Danns,12,4,Liverpool
661,Ekitiké,Hugo,Ekitiké,12,4,Liverpool
686,Ngumoha,Rio,Ngumoha,12,3,Liverpool
692,Leoni,Giovanni,Leoni,12,2,Liverpool
182,Trafford,James,Trafford,13,1,Man City
399,Ederson M.,Ederson,Santana de Moraes,13,1,Man City
400,Ortega Moreno,Stefan,Ortega Moreno,13,1,Man City
401,Bettinelli,Marcus,Bettinelli,13,1,Man City
402,Aït-Nouri,Rayan,Aït-Nouri,13,2,Man City
403,Gvardiol,Joško,Gvardiol,13,2,Man City
404,Akanji,Manuel,Akanji,13,2,Man City
405,Aké,Nathan,Aké,13,2,Man City
406,Khusanov,Abdukodir,Khusanov,13,2,Man City
407,Matheus N.,Matheus,Nunes,13,2,Man City
408,Rúben,Rúben,dos Santos Gato Alves Dias,13,2,Man City
409,Stones,John,Stones,13,2,Man City
410,Lewis,Rico,Lewis,13,2,Man City
411,O’Reilly,Nico,O'Reilly,13,2,Man City
412,Vitor Reis,Vitor,de Oliveira Nunes dos Reis,13,2,Man City
413,Marmoush,Omar,Marmoush,13,3,Man City
414,Foden,Phil,Foden,13,3,Man City
415,Savinho,Sávio,Moreira de Oliveira,13,3,Man City
416,Bernardo,Bernardo,Mota Veiga de Carvalho e Silva,13,3,Man City
417,Cherki,Rayan,Cherki,13,3,Man City
418,Doku,Jérémy,Doku,13,3,Man City
420,Gündoğan,İlkay,Gündoğan,13,3,Man City
421,Rodrigo,Rodrigo 'Rodri',Hernandez Cascante,13,3,Man City
422,Kovačić,Mateo,Kovačić,13,3,Man City
423,N.Gonzalez,Nico,González Iglesias,13,3,Man City
424,Bobb,Oscar,Bobb,13,3,Man City
425,Echeverri,Claudio,Echeverri,13,3,Man City
427,Reijnders,Tijjani,Reijnders,13,3,Man City
428,Nypan,Sverre,Nypan,13,3,Man City
429,Phillips,Kalvin,Phillips,13,3,Man City
430,Haaland,Erling,Haaland,13,4,Man City
119,Mbeumo,Bryan,Mbeumo,14,3,Man Utd
431,Bayindir,Altay,Bayındır,14,1,Man Utd
432,Onana,André,Onana,14,1,Man Utd
433,Harrison,Elyh,Harrison,14,1,Man Utd
434,Heaton,Tom,Heaton,14,1,Man Utd
435,Mee,Dermot,Mee,14,1,Man Utd
436,De Ligt,Matthijs,de Ligt,14,2,Man Utd
437,Martinez,Lisandro,Martínez,14,2,Man Utd
438,Mazraoui,Noussair,Mazraoui,14,2,Man Utd
439,D.Leon,Diego,León Blanco,14,2,Man Utd
440,Dalot,Diogo,Dalot Teixeira,14,2,Man Utd
441,Dorgu,Patrick,Dorgu,14,2,Man Utd
442,Maguire,Harry,Maguire,14,2,Man Utd
443,Shaw,Luke,Shaw,14,2,Man Utd
444,Yoro,Leny,Yoro,14,2,Man Utd
445,Amass,Harry,Amass,14,2,Man Utd
446,Fredricson,Tyler,Fredricson,14,2,Man Utd
447,Heaven,Ayden,Heaven,14,2,Man Utd
448,Malacia,Tyrell,Malacia,14,2,Man Utd
449,B.Fernandes,Bruno,Borges Fernandes,14,3,Man Utd
450,Cunha,Matheus,Santos Carneiro da Cunha,14,3,Man Utd
451,Rashford,Marcus,Rashford,14,3,Man Utd
452,Amad,Amad,Diallo,14,3,Man Utd
453,Garnacho,Alejandro,Garnacho Ferreyra,14,3,Man Utd
454,Antony,Antony,dos Santos,14,3,Man Utd
455,Mount,Mason,Mount,14,3,Man Utd
456,Sancho,Jadon,Sancho,14,3,Man Utd
457,Casemiro,Carlos Henrique,Casimiro,14,3,Man Utd
458,Mainoo,Kobbie,Mainoo,14,3,Man Utd
459,Ugarte,Manuel,Ugarte Ribeiro,14,3,Man Utd
460,Collyer,Toby,Collyer,14,3,Man Utd
461,Fitzgerald,Jayce,Fitzgerald,14,3,Man Utd
462,J.Fletcher,Jack,Fletcher,14,3,Man Utd
463,Kone,Sékou,Koné,14,3,Man Utd
464,Moorhouse,Jack,Moorhouse,14,3,Man Utd
465,Højlund,Rasmus,Højlund,14,4,Man Utd
466,Zirkzee,Joshua,Zirkzee,14,4,Man Utd
467,Obi,Chido,Obi,14,4,Man Utd
468,Wheatley,Ethan,Wheatley,14,4,Man Utd
681,Šeško,Benjamin,Sesko,14,4,Man Utd
52,J.Ramsey,Jacob,Ramsey,15,3,Newcastle
