id,code,team,team_code,element_type,first_name,second_name,web_name,status,news,news_added,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,total_points,event_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season,points_per_game,ep_next,ep_this,transfers_in,transfers_out,transfers_in_event,transfers_out_event
184,489571,3,90,1,Etienne,Green,Green,a,,,40,0,0,0,0,0.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2253,2320,2253,2320
185,51943,3,90,1,Václav,Hladký,Hladký,a,,,40,0,0,0,0,0.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,719,1296,719,1296
186,192290,3,90,2,Connor,Roberts,Roberts,a,,,45,0,0,0,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.4,420,1299,420,1299
187,58621,3,90,2,Kyle,Walker,Walker,a,,,45,0,0,0,0,1.9,,,1,1,90,0,0,0,3,0,0,0,0,0,0,0,-3,8.2,0.9,1.0,1.0,1.0,0.2,0.2,1.0,1.9,1.4,14730,18401,14730,18401
188,247245,3,90,2,Hannes,Delcroix,Delcroix,a,,,40,0,0,0,0,0.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1071,2959,1071,2959
189,461567,3,90,2,Owen,Dodgson,Dodgson,u,Has joined Stockport County on loan for the rest of the season.,2025-08-11T01:08:30.737822Z,40,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,809,0,809
190,478969,3,90,2,Hjalmar,Ekdal,Ekdal,a,,,40,0,0,0,0,0.3,,,1,1,90,0,0,0,3,0,0,0,0,0,0,0,-5,9.8,0.5,8.0,1.8,1.0,0.2,0.2,1.0,1.0,0.5,4343,2297,4343,2297
191,477717,3,90,2,Maxime,Estève,Estève,a,,,40,0,0,0,0,19.5,,,1,1,90,0,0,0,3,0,0,0,0,0,0,0,0,19.4,0.5,17.0,3.7,1.0,0.2,0.2,1.0,1.0,0.5,75767,76466,75767,76466
192,494960,3,90,2,Quilindschy,Hartman,Hartman,a,,,40,0,0,0,0,0.6,,,1,1,90,0,0,0,3,0,0,0,0,0,0,0,-2,13.4,11.7,2.0,2.7,1.0,0.2,0.2,1.0,1.0,0.5,6113,4115,6113,4115
193,461188,3,90,2,Bashir,Humphreys,Humphreys,d,Thigh injury - 25% chance of playing,2025-08-10T22:00:04.557380Z,40,0,0,0,0,0.1,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,117,986,117,986
194,241231,3,90,2,Jordan,Beyer,Jordan,a,,,40,0,0,0,0,0.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,542,1731,542,1731
195,549329,3,90,2,Lucas,Pires Silva,Lucas Pires,a,,,40,0,0,0,0,0.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,276,1578,276,1578
196,450072,3,90,2,Shurandy,Sambo,Sambo,u,Has joined Sparta Rotterdam on loan for the rest of the season.,2025-08-19T13:36:42.853472Z,40,0,0,0,0,0.1,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,202,2017,202,2017
197,519895,3,90,2,Oliver,Sonne,Sonne,a,,,40,0,0,0,0,0.2,,,1,1,73,0,0,0,3,0,0,0,0,0,0,0,-4,4.6,15.9,6.0,2.7,1.0,0.2,0.2,1.0,1.0,0.5,1379,1271,1379,1271
198,180804,3,90,2,Axel,Tuanzebe,Tuanzebe,a,,,40,0,0,0,0,2.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3203,19957,3203,19957
199,208912,3,90,2,Joe,Worrall,Worrall,a,,,40,0,0,0,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,323,1368,323,1368
200,444180,3,90,3,Jaidon,Anthony,Anthony,a,,,55,0,0,0,0,0.1,,,2,2,84,0,0,0,3,0,0,0,0,0,0,0,9,7.0,26.2,32.0,6.5,2.0,0.4,0.4,2.0,2.0,1.5,2054,1748,2054,1748
201,183751,3,90,3,Manuel,Benson Hedilazio,Benson,a,,,55,0,0,0,0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,111,431,111,431
202,179458,3,90,3,Jacob,Bruun Larsen,Bruun Larsen,a,,,55,0,0,0,0,0.0,,,1,1,27,0,0,0,1,0,0,0,0,0,0,0,2,3.6,0.7,8.0,1.2,1.0,0.2,0.2,1.0,2.0,1.5,226,774,226,774
203,578614,3,90,3,Enock,Agyei,Boateng,a,,,50,0,0,0,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,234,881,234,881
204,250735,3,90,3,Darko,Churlinov,Churlinov,a,,,50,0,0,0,0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,47,364,47,364
205,172567,3,90,3,Josh,Cullen,Cullen,a,,,50,0,0,0,0,0.1,,,4,4,90,0,0,0,3,0,0,0,0,0,0,0,21,23.8,59.4,0.0,8.3,4.0,0.8,0.8,4.0,1.5,1.0,2932,929,2932,929
206,174592,3,90,3,Marcus,Edwards,Edwards,a,,,50,0,0,0,0,0.1,,,1,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,0.2,0.2,1.0,1.5,1.0,264,1417,264,1417
207,465527,3,90,3,Hannibal,Mejbri,Hannibal,a,,,50,0,0,0,0,0.1,,,2,2,62,0,0,0,2,0,0,0,0,0,0,0,8,0.0,1.7,5.0,0.6,2.0,0.4,0.4,2.0,1.5,1.0,848,1804,848,1804
208,487702,3,90,3,Luca,Koleosho,Koleosho,a,,,50,0,0,0,0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,65,581,65,581
