gw,fixture,kickoff_time,player_id,web_name,first_name,second_name,position,team,team_name,team_short,is_home,opponent_team,opponent_name,opponent_short,team_h,team_h_score,team_a,team_a_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,saves,penalties_saved,penalties_missed,yellow_cards,red_cards,bonus
2,13,2025-08-23T14:00:00Z,121,Damsgaard,Mikkel,Damsgaard,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,122,Milambo,Antoni,Milambo,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,123,Carvalho,Fábio,Freitas Gouveia Carvalho,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,124,Henderson,Jordan,Henderson,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,68,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,125,Janelt,Vitaly,Janelt,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,126,Jensen,Mathias,Jensen,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,11,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,127,Nunes,Gustavo,Nunes Fernandes Gomes,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,128,Onyeka,Frank,Onyeka,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,21,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,129,Yarmoliuk,Yehor,Yarmoliuk,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,78,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,130,Donovan,Romelle,Donovan,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,131,Konak,Yunus Emre,Konak,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,132,Maghoma,Paris,Maghoma,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,133,Peart-Harris,Myles,Peart-Harris,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,134,Trevitt,Ryan,Trevitt,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,135,Wissa,Yoane,Wissa,FWD,15,Newcastle,NEW,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,136,Thiago,Igor Thiago,Nascimento Rodrigues,FWD,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,137,Morgan,Iwan,Morgan,FWD,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,16,2025-08-24T13:00:00Z,138,Steele,Jason,Steele,GK,6,Brighton,BHA,False,9,Everton,EVE,9,2,6,0,0,,,,,,,,,,,
2,16,2025-08-24T13:00:00Z,139,Verbruggen,Bart,Verbruggen,GK,6,Brighton,BHA,False,9,Everton,EVE,9,2,6,0,90,,,,2.0,,,,,,,
2,16,2025-08-24T13:00:00Z,140,McGill,Tom,McGill,GK,6,Brighton,BHA,False,9,Everton,EVE,9,2,6,0,0,,,,,,,,,,,
